VC:904M BD:May 23 2013 SN:LGR-13-0154
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  11/21/2016 11:55:48.590,    2.14825e+00,    0.00000e+00,    1.29902e+04,    0.00000e+00,    4.90838e+02,    0.00000e+00,    2.17652e+00,    0.00000e+00,    4.97298e+02,    0.00000e+00,    1.40322e+02,    0.00000e+00,    2.17488e+01,    0.00000e+00,    2.47506e+01,    0.00000e+00,    8.85724e+00,    0.00000e+00,    7.98458e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:49.619,    2.15300e+00,    0.00000e+00,    1.29345e+04,    0.00000e+00,    4.80897e+02,    0.00000e+00,    2.18122e+00,    0.00000e+00,    4.87198e+02,    0.00000e+00,    1.40364e+02,    0.00000e+00,    2.17530e+01,    0.00000e+00,    2.47615e+01,    0.00000e+00,    8.85763e+00,    0.00000e+00,    7.99094e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:50.639,    2.16074e+00,    0.00000e+00,    1.27693e+04,    0.00000e+00,    4.71771e+02,    0.00000e+00,    2.18869e+00,    0.00000e+00,    4.77873e+02,    0.00000e+00,    1.40333e+02,    0.00000e+00,    2.17558e+01,    0.00000e+00,    2.47699e+01,    0.00000e+00,    8.85764e+00,    0.00000e+00,    7.97943e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:51.659,    2.16389e+00,    0.00000e+00,    1.27040e+04,    0.00000e+00,    4.63396e+02,    0.00000e+00,    2.19173e+00,    0.00000e+00,    4.69358e+02,    0.00000e+00,    1.40359e+02,    0.00000e+00,    2.17585e+01,    0.00000e+00,    2.47832e+01,    0.00000e+00,    8.86288e+00,    0.00000e+00,    7.98486e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:53.486,    2.18699e+00,    0.00000e+00,    1.26396e+04,    0.00000e+00,    4.55139e+02,    0.00000e+00,    2.21498e+00,    0.00000e+00,    4.60965e+02,    0.00000e+00,    1.40365e+02,    0.00000e+00,    2.17670e+01,    0.00000e+00,    2.48126e+01,    0.00000e+00,    8.85785e+00,    0.00000e+00,    7.98714e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:54.386,    2.20398e+00,    0.00000e+00,    1.25925e+04,    0.00000e+00,    4.48478e+02,    0.00000e+00,    2.23209e+00,    0.00000e+00,    4.54198e+02,    0.00000e+00,    1.40317e+02,    0.00000e+00,    2.17700e+01,    0.00000e+00,    2.48246e+01,    0.00000e+00,    8.86091e+00,    0.00000e+00,    7.98617e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:55.287,    2.20510e+00,    0.00000e+00,    1.24679e+04,    0.00000e+00,    4.43217e+02,    0.00000e+00,    2.23294e+00,    0.00000e+00,    4.48812e+02,    0.00000e+00,    1.40373e+02,    0.00000e+00,    2.17724e+01,    0.00000e+00,    2.48319e+01,    0.00000e+00,    8.85742e+00,    0.00000e+00,    7.98506e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:56.190,    2.20808e+00,    0.00000e+00,    1.24439e+04,    0.00000e+00,    4.39663e+02,    0.00000e+00,    2.23590e+00,    0.00000e+00,    4.45203e+02,    0.00000e+00,    1.40313e+02,    0.00000e+00,    2.17744e+01,    0.00000e+00,    2.48459e+01,    0.00000e+00,    8.86151e+00,    0.00000e+00,    7.98241e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:57.086,    2.21064e+00,    0.00000e+00,    1.24434e+04,    0.00000e+00,    4.35480e+02,    0.00000e+00,    2.23850e+00,    0.00000e+00,    4.40967e+02,    0.00000e+00,    1.40400e+02,    0.00000e+00,    2.17773e+01,    0.00000e+00,    2.48533e+01,    0.00000e+00,    8.86166e+00,    0.00000e+00,    7.98596e+00,    0.00000e+00,              3,       Disabled
  11/21/2016 11:55:57.986,    2.20521e+00,    0.00000e+00,    1.24289e+04,    0.00000e+00,    4.32483e+02,    0.00000e+00,    2.23296e+00,    0.00000e+00,    4.37926e+02,    0.00000e+00,    1.40290e+02,    0.00000e+00,    2.17799e+01,    0.00000e+00,    2.48665e+01,    0.00000e+00,    8.86300e+00,    0.00000e+00,    7.98468e+00,    0.00000e+00,              3,       Disabled
