Date_time,CO2_PPM,CO2_SD,H2O_PPM,H2O_SD,Tem_C
  02/17/2017 09:44:18.981,590.482,0,21088.2,0,20.1145
  02/17/2017 09:44:20.006,570.386,0,20499.5,0,20.1302
  02/17/2017 09:44:21.026,550.876,0,20028.7,0,20.144
  02/17/2017 09:44:22.046,534.718,0,20056.1,0,20.153
  02/17/2017 09:44:23.066,518.864,0,19636,0,20.1707
  02/17/2017 09:44:24.970,506.232,0,19095.2,0,20.2137
  02/17/2017 09:44:25.870,495.615,0,18529.8,0,20.2231
  02/17/2017 09:44:26.771,485.33,0,18246.5,0,20.2342
  02/17/2017 09:44:27.674,477.344,0,17950.5,0,20.251
  02/17/2017 09:44:28.574,470.141,0,17750.2,0,20.2611
  02/17/2017 09:44:29.471,463.999,0,17639.3,0,20.2757
  02/17/2017 09:44:30.370,459.604,0,17517.3,0,20.2891
  02/17/2017 09:44:31.278,455.304,0,17418.4,0,20.3011
  02/17/2017 09:44:32.222,452.002,0,17268.6,0,20.3175
  02/17/2017 09:44:33.242,449.039,0,17196.7,0,20.329
  02/17/2017 09:44:34.262,446.262,0,17053.6,0,20.3383
  02/17/2017 09:44:35.282,444.368,0,16944.9,0,20.3554
  02/17/2017 09:44:36.302,442.442,0,16790.5,0,20.3655
  02/17/2017 09:44:37.322,440.472,0,16753.4,0,20.3798
  02/17/2017 09:44:38.342,438.798,0,16719.8,0,20.3935
  02/17/2017 09:44:39.362,438.23,0,16459.1,0,20.4029
  02/17/2017 09:44:41.171,437.299,0,16430,0,20.4471
  02/17/2017 09:44:42.070,436.339,0,16281.1,0,20.4588
  02/17/2017 09:44:42.970,435.677,0,16154,0,20.4672
  02/17/2017 09:44:43.870,435.246,0,15954.9,0,20.4846
  02/17/2017 09:44:44.770,434.371,0,15860.3,0,20.4959
  02/17/2017 09:44:45.670,433.357,0,15928.9,0,20.5108
  02/17/2017 09:44:46.582,432.545,0,15950.5,0,20.5238
  02/17/2017 09:44:47.475,433.095,0,15797.3,0,20.5352
  02/17/2017 09:44:48.466,432.954,0,15403.7,0,20.5505
  02/17/2017 09:44:49.486,433.04,0,15255.9,0,20.5609
  02/17/2017 09:44:50.506,432.344,0,15294.1,0,20.576
  02/17/2017 09:44:51.527,432.493,0,15132.7,0,20.59
  02/17/2017 09:44:52.546,432.195,0,15108.5,0,20.6016
  02/17/2017 09:44:53.570,432.362,0,15051.9,0,20.6193
  02/17/2017 09:44:54.587,432.135,0,14983.3,0,20.6285
  02/17/2017 09:44:56.470,432.211,0,14787.9,0,20.6642
  02/17/2017 09:44:57.370,431.568,0,14769.8,0,20.6754
  02/17/2017 09:44:58.270,431.315,0,14788.3,0,20.684
  02/17/2017 09:44:59.170,431.404,0,14736,0,20.7004
  02/17/2017 09:45:00.070,431.664,0,14679.6,0,20.7104
  02/17/2017 09:45:00.970,431.334,0,14671.3,0,20.7263
  02/17/2017 09:45:01.870,431.371,0,14601.9,0,20.7369
  02/17/2017 09:45:02.775,431.2,0,14567.1,0,20.7507
  02/17/2017 09:45:03.742,431.021,0,14512,0,20.7586
  02/17/2017 09:45:04.763,431.39,0,14527.4,0,20.7671
  02/17/2017 09:45:05.782,431.198,0,14575.4,0,20.7816
  02/17/2017 09:45:06.802,431.174,0,14418.2,0,20.7891
  02/17/2017 09:45:07.822,431.08,0,14360.6,0,20.8048
  02/17/2017 09:45:08.842,431.267,0,14304.8,0,20.8131
  02/17/2017 09:45:09.862,431.205,0,14176.7,0,20.8291
  02/17/2017 09:45:11.770,431.169,0,14007,0,20.861
  02/17/2017 09:45:12.670,431.067,0,14145.6,0,20.872
  02/17/2017 09:45:13.570,431.131,0,13912.5,0,20.8814
  02/17/2017 09:45:14.471,430.811,0,13883.3,0,20.8918
  02/17/2017 09:45:15.370,431.232,0,13929.3,0,20.9053
  02/17/2017 09:45:16.270,430.422,0,13913.9,0,20.9143
  02/17/2017 09:45:17.170,431.517,0,13820.5,0,20.9283
  02/17/2017 09:45:18.074,430.968,0,13762,0,20.9415
  02/17/2017 09:45:19.035,430.768,0,13780.7,0,20.9549
  02/17/2017 09:45:20.054,431.352,0,13862,0,20.9624
  02/17/2017 09:45:21.074,432.935,0,14212.5,0,20.9739
  02/17/2017 09:45:22.094,432.25,0,14192.5,0,20.9831
  02/17/2017 09:45:23.114,432.063,0,14228.5,0,20.9942
  02/17/2017 09:45:24.135,431.55,0,14177.2,0,21.0049
  02/17/2017 09:45:25.154,431.533,0,14167.2,0,21.0145
  02/17/2017 09:45:27.066,431.513,0,14171.4,0,21.0506
  02/17/2017 09:45:27.970,431.388,0,14143.3,0,21.0584
  02/17/2017 09:45:28.870,431.264,0,14056.8,0,21.0716
  02/17/2017 09:45:29.774,431.757,0,14042.3,0,21.0796
  02/17/2017 09:45:30.670,432.06,0,14002,0,21.0909
  02/17/2017 09:45:31.570,432.639,0,14015.8,0,21.0969
  02/17/2017 09:45:32.470,430.106,0,13682.6,0,21.1097
  02/17/2017 09:45:33.374,432.423,0,13962.2,0,21.1177
  02/17/2017 09:45:34.326,431.163,0,14016.6,0,21.1302
  02/17/2017 09:45:35.347,431.581,0,14022.3,0,21.1352
  02/17/2017 09:45:36.366,431.85,0,13950,0,21.1464
  02/17/2017 09:45:37.386,431.662,0,13957.2,0,21.1513
  02/17/2017 09:45:38.406,431.514,0,13953.3,0,21.1641
  02/17/2017 09:45:39.426,431.85,0,13931.3,0,21.1693
  02/17/2017 09:45:40.446,431.51,0,13856.1,0,21.1822
  02/17/2017 09:45:41.467,433.239,0,13854.3,0,21.1894
  02/17/2017 09:45:43.270,431.913,0,13306.5,0,21.2276
  02/17/2017 09:45:44.170,430.281,0,13382.8,0,21.2341
  02/17/2017 09:45:45.074,431.534,0,13871.5,0,21.2501
  02/17/2017 09:45:45.970,431.936,0,13877.6,0,21.2597
  02/17/2017 09:45:46.871,431.582,0,13806.6,0,21.2758
  02/17/2017 09:45:47.770,431.268,0,13829.6,0,21.283
  02/17/2017 09:45:48.682,430.122,0,13440.7,0,21.301
  02/17/2017 09:45:49.574,430.986,0,13154.3,0,21.3109
  02/17/2017 09:45:50.558,431.341,0,13007.2,0,21.3235
  02/17/2017 09:45:51.578,431.969,0,13409.1,0,21.3324
  02/17/2017 09:45:52.598,431.978,0,13143.3,0,21.3455
  02/17/2017 09:45:53.618,431.671,0,13221.1,0,21.352
  02/17/2017 09:45:54.638,432.584,0,13463,0,21.3664
  02/17/2017 09:45:55.658,433.13,0,13484.8,0,21.375
  02/17/2017 09:45:56.678,432.623,0,13426.8,0,21.3897
  02/17/2017 09:45:58.571,431.234,0,13024.3,0,21.4243
  02/17/2017 09:45:59.470,430.566,0,13063,0,21.4359
  02/17/2017 09:46:00.370,430.986,0,13583,0,21.4438
  02/17/2017 09:46:01.270,432.65,0,13569.3,0,21.4577
  02/17/2017 09:46:02.170,431.934,0,13586.3,0,21.4664
  02/17/2017 09:46:03.070,432.505,0,13541.5,0,21.4802
  02/17/2017 09:46:03.970,432.974,0,13604.1,0,21.4873
  02/17/2017 09:46:04.874,435.288,0,13455.7,0,21.5014
  02/17/2017 09:46:05.826,435.086,0,13227.1,0,21.5115
  02/17/2017 09:46:06.846,434.436,0,13026.5,0,21.5218
  02/17/2017 09:46:07.866,435.18,0,13286.4,0,21.5336
  02/17/2017 09:46:08.887,431.746,0,13599.4,0,21.5449
  02/17/2017 09:46:09.906,430.073,0,13258.6,0,21.5581
  02/17/2017 09:46:10.926,429.498,0,13240.4,0,21.5685
  02/17/2017 09:46:11.946,432.044,0,13570.6,0,21.5803
  02/17/2017 09:46:12.966,434.799,0,13193.8,0,21.5905
  02/17/2017 09:46:14.770,434.315,0,13041.3,0,21.6267
  02/17/2017 09:46:15.670,434.855,0,12947.8,0,21.6344
  02/17/2017 09:46:16.570,434.766,0,13079.7,0,21.648
  02/17/2017 09:46:17.470,433.452,0,13341,0,21.6574
  02/17/2017 09:46:18.370,434.078,0,13484.3,0,21.6714
  02/17/2017 09:46:19.270,433.777,0,13270.3,0,21.6794
  02/17/2017 09:46:20.183,434.596,0,13107.3,0,21.6946
  02/17/2017 09:46:21.074,434.564,0,13015.1,0,21.703
  02/17/2017 09:46:22.094,435.054,0,13380.3,0,21.7146
  02/17/2017 09:46:23.122,435,0,13497.4,0,21.7223
  02/17/2017 09:46:24.150,434.274,0,13537.8,0,21.7351
  02/17/2017 09:46:25.174,435.115,0,13508.5,0,21.7414
  02/17/2017 09:46:26.202,433.715,0,13424,0,21.7542
  02/17/2017 09:46:27.222,432.099,0,13571,0,21.7599
  02/17/2017 09:46:28.246,431.269,0,13553.8,0,21.7716
  02/17/2017 09:46:30.070,431.234,0,13538.4,0,21.8026
  02/17/2017 09:46:30.971,430.932,0,13546.2,0,21.8121
  02/17/2017 09:46:31.870,431.073,0,13526.3,0,21.8174
  02/17/2017 09:46:32.770,431.26,0,13534.5,0,21.8307
  02/17/2017 09:46:33.670,432.134,0,13516.6,0,21.8368
  02/17/2017 09:46:34.570,434.757,0,13483,0,21.8513
  02/17/2017 09:46:35.470,435.047,0,13325.5,0,21.8569
  02/17/2017 09:46:36.378,435.502,0,13371.4,0,21.8724
  02/17/2017 09:46:37.346,435.023,0,13374,0,21.877
  02/17/2017 09:46:38.366,432.523,0,13472.1,0,21.8902
  02/17/2017 09:46:39.390,430.357,0,13338.5,0,21.8963
  02/17/2017 09:46:40.411,431.018,0,12812.9,0,21.9096
  02/17/2017 09:46:41.439,432.038,0,13195.4,0,21.9151
  02/17/2017 09:46:42.462,431.826,0,13342,0,21.9268
  02/17/2017 09:46:43.494,431.059,0,13402.9,0,21.9358
  02/17/2017 09:46:45.370,431.045,0,13398.1,0,21.9645
  02/17/2017 09:46:46.270,430.787,0,13425,0,21.9746
  02/17/2017 09:46:47.170,430.948,0,13427,0,21.9816
  02/17/2017 09:46:48.070,430.946,0,13381.8,0,21.994
  02/17/2017 09:46:48.970,431.387,0,13363.6,0,21.9999
  02/17/2017 09:46:49.870,431.002,0,13315.6,0,22.0099
  02/17/2017 09:46:50.770,431.316,0,13330.5,0,22.0156
  02/17/2017 09:46:51.674,431.138,0,13273.6,0,22.0294
  02/17/2017 09:46:52.647,431.15,0,13322,0,22.0334
  02/17/2017 09:46:53.667,430.812,0,13353,0,22.0462
  02/17/2017 09:46:54.748,430.874,0,13297.9,0,22.0514
  02/17/2017 09:46:55.767,431.169,0,13257.5,0,22.053
  02/17/2017 09:46:56.820,431.367,0,13340.6,0,22.0565
  02/17/2017 09:46:57.895,430.861,0,13304.5,0,22.0752
  02/17/2017 09:46:59.791,430.839,0,13273.4,0,22.103
  02/17/2017 09:47:00.680,430.818,0,13241.6,0,22.1112
  02/17/2017 09:47:01.570,431.214,0,13271.3,0,22.1268
  02/17/2017 09:47:02.470,431.195,0,13222,0,22.1334
  02/17/2017 09:47:03.370,430.698,0,13292.2,0,22.1501
  02/17/2017 09:47:04.271,430.795,0,13266.2,0,22.1576
  02/17/2017 09:47:05.178,430.676,0,13173.4,0,22.1708
  02/17/2017 09:47:06.086,431.049,0,13208.4,0,22.1796
  02/17/2017 09:47:07.106,430.74,0,13216,0,22.1919
  02/17/2017 09:47:08.126,430.511,0,13267.9,0,22.1984
  02/17/2017 09:47:09.146,430.754,0,13182.1,0,22.2108
  02/17/2017 09:47:10.167,430.304,0,13242.9,0,22.2168
  02/17/2017 09:47:11.186,430.816,0,13251.9,0,22.2291
  02/17/2017 09:47:12.207,430.601,0,13214,0,22.2358
  02/17/2017 09:47:13.228,430.794,0,13307.8,0,22.2466
  02/17/2017 09:47:15.074,430.466,0,13262.5,0,22.2747
  02/17/2017 09:47:15.971,430.663,0,13191.6,0,22.2801
  02/17/2017 09:47:16.870,430.973,0,13237.2,0,22.2922
  02/17/2017 09:47:17.770,430.563,0,13239.4,0,22.2967
  02/17/2017 09:47:18.670,430.909,0,13238.2,0,22.3096
  02/17/2017 09:47:19.570,430.926,0,13232.4,0,22.3165
  02/17/2017 09:47:20.470,431.03,0,13269.1,0,22.3288
  02/17/2017 09:47:21.374,430.507,0,13212.6,0,22.3355
  02/17/2017 09:47:22.338,430.667,0,13210.1,0,22.345
  02/17/2017 09:47:23.358,430.618,0,13226.5,0,22.3506
  02/17/2017 09:47:24.378,430.883,0,13235.2,0,22.3594
  02/17/2017 09:47:25.399,430.654,0,13229.8,0,22.3671
  02/17/2017 09:47:26.419,431.059,0,13226.6,0,22.3747
  02/17/2017 09:47:27.438,430.728,0,13237.3,0,22.3866
  02/17/2017 09:47:28.458,430.392,0,13188.3,0,22.3938
  02/17/2017 09:47:30.370,430.612,0,13242.8,0,22.4318
  02/17/2017 09:47:31.270,430.54,0,13215.1,0,22.4367
  02/17/2017 09:47:32.170,431.127,0,13178.1,0,22.4485
  02/17/2017 09:47:33.070,430.384,0,13225.4,0,22.4531
  02/17/2017 09:47:33.970,430.377,0,13191.6,0,22.4633
  02/17/2017 09:47:34.870,430.325,0,13217.9,0,22.4725
  02/17/2017 09:47:35.770,430.248,0,13239.4,0,22.4802
  02/17/2017 09:47:36.675,430.152,0,13209.9,0,22.4923
  02/17/2017 09:47:37.626,430.196,0,13252.4,0,22.496
  02/17/2017 09:47:38.647,430.432,0,13248,0,22.5085
  02/17/2017 09:47:39.666,430.925,0,13262.1,0,22.5148
  02/17/2017 09:47:40.686,430.978,0,13243.4,0,22.5273
  02/17/2017 09:47:41.706,430.312,0,13310.2,0,22.5347
  02/17/2017 09:47:42.722,430.975,0,13270.9,0,22.5454
  02/17/2017 09:47:43.743,430.679,0,13255.5,0,22.5536
  02/17/2017 09:47:44.763,430.573,0,13270.2,0,22.5623
  02/17/2017 09:47:46.570,430.794,0,13248.6,0,22.5961
  02/17/2017 09:47:47.474,430.936,0,13301.2,0,22.5978
  02/17/2017 09:47:48.371,430.667,0,13288,0,22.6105
  02/17/2017 09:47:49.270,430.332,0,13276.1,0,22.6156
  02/17/2017 09:47:50.170,430.59,0,13267.9,0,22.6267
  02/17/2017 09:47:51.070,430.594,0,13236.5,0,22.6327
  02/17/2017 09:47:51.975,430.441,0,13326.9,0,22.6355
  02/17/2017 09:47:52.887,430.458,0,13305.4,0,22.6523
  02/17/2017 09:47:53.915,430.187,0,13285,0,22.6561
  02/17/2017 09:47:54.938,430.409,0,13329.4,0,22.6669
  02/17/2017 09:47:55.970,430.484,0,13344.6,0,22.669
  02/17/2017 09:47:56.999,431.116,0,13286.8,0,22.6796
  02/17/2017 09:47:58.022,430.366,0,13315.2,0,22.6851
  02/17/2017 09:47:59.059,430.028,0,13344,0,22.6984
  02/17/2017 09:48:00.966,430.317,0,13287.5,0,22.7235
  02/17/2017 09:48:01.870,430.514,0,13326,0,22.7276
  02/17/2017 09:48:02.770,430.441,0,13360.1,0,22.7371
  02/17/2017 09:48:03.670,430.56,0,13315.7,0,22.7406
  02/17/2017 09:48:04.566,430.72,0,13326.6,0,22.751
  02/17/2017 09:48:05.470,431.421,0,13308.4,0,22.7554
  02/17/2017 09:48:06.370,432.511,0,13261.6,0,22.7663
  02/17/2017 09:48:07.274,432.208,0,13250.4,0,22.773
  02/17/2017 09:48:08.246,431.399,0,13273.5,0,22.7827
  02/17/2017 09:48:09.274,430.194,0,13165.7,0,22.7881
  02/17/2017 09:48:10.299,429.647,0,13063.6,0,22.7955
  02/17/2017 09:48:11.326,429.363,0,13051.4,0,22.8044
  02/17/2017 09:48:12.366,429.906,0,13009.8,0,22.8118
  02/17/2017 09:48:13.398,430.654,0,13233.1,0,22.8234
  02/17/2017 09:48:14.422,430.443,0,13258.3,0,22.8275
  02/17/2017 09:48:16.270,430.964,0,13233.8,0,22.8541
  02/17/2017 09:48:17.174,430.419,0,13257.2,0,22.8584
  02/17/2017 09:48:18.070,430.321,0,13243.6,0,22.8654
  02/17/2017 09:48:18.966,430.473,0,13321.3,0,22.8767
  02/17/2017 09:48:19.870,430.253,0,13278.5,0,22.8827
  02/17/2017 09:48:20.766,430.912,0,13264.4,0,22.8942
  02/17/2017 09:48:21.675,430.789,0,13236.2,0,22.8987
  02/17/2017 09:48:22.571,430.569,0,13199.8,0,22.9118
  02/17/2017 09:48:23.562,430.634,0,13230.2,0,22.9137
  02/17/2017 09:48:24.594,431.19,0,13217.8,0,22.922
  02/17/2017 09:48:25.627,430.833,0,13263.8,0,22.9292
  02/17/2017 09:48:26.655,430.914,0,13297.1,0,22.9354
  02/17/2017 09:48:27.687,430.784,0,13222.2,0,22.9465
  02/17/2017 09:48:28.714,430.908,0,13153.8,0,22.9527
  02/17/2017 09:48:29.738,430.331,0,13191.6,0,22.9637
  02/17/2017 09:48:31.570,430.405,0,13255.7,0,22.9868
  02/17/2017 09:48:32.470,430.76,0,13216.6,0,22.989
