VC:904M BD:May 23 2013 SN:LGR-13-0154
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,            MIU
  02/17/2017 09:44:18.981,    2.10017e+00,    0.00000e+00,    2.10882e+04,    0.00000e+00,    5.78030e+02,    0.00000e+00,    2.14541e+00,    0.00000e+00,    5.90482e+02,    0.00000e+00,    1.40350e+02,    0.00000e+00,    1.77529e+01,    0.00000e+00,    2.01145e+01,    0.00000e+00,    8.85580e+00,    0.00000e+00,    7.98357e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:20.006,    2.11214e+00,    0.00000e+00,    2.04995e+04,    0.00000e+00,    5.58693e+02,    0.00000e+00,    2.15635e+00,    0.00000e+00,    5.70386e+02,    0.00000e+00,    1.40356e+02,    0.00000e+00,    1.77549e+01,    0.00000e+00,    2.01302e+01,    0.00000e+00,    8.85303e+00,    0.00000e+00,    7.98753e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:21.026,    2.11900e+00,    0.00000e+00,    2.00287e+04,    0.00000e+00,    5.39842e+02,    0.00000e+00,    2.16230e+00,    0.00000e+00,    5.50876e+02,    0.00000e+00,    1.40293e+02,    0.00000e+00,    1.77567e+01,    0.00000e+00,    2.01440e+01,    0.00000e+00,    8.86053e+00,    0.00000e+00,    7.99951e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:22.046,    2.13170e+00,    0.00000e+00,    2.00561e+04,    0.00000e+00,    5.23994e+02,    0.00000e+00,    2.17533e+00,    0.00000e+00,    5.34718e+02,    0.00000e+00,    1.40374e+02,    0.00000e+00,    1.77587e+01,    0.00000e+00,    2.01530e+01,    0.00000e+00,    8.86764e+00,    0.00000e+00,    8.00250e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:23.066,    2.13603e+00,    0.00000e+00,    1.96360e+04,    0.00000e+00,    5.08676e+02,    0.00000e+00,    2.17881e+00,    0.00000e+00,    5.18864e+02,    0.00000e+00,    1.40339e+02,    0.00000e+00,    1.77608e+01,    0.00000e+00,    2.01707e+01,    0.00000e+00,    8.86435e+00,    0.00000e+00,    7.99622e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:24.970,    2.14258e+00,    0.00000e+00,    1.90952e+04,    0.00000e+00,    4.96566e+02,    0.00000e+00,    2.18429e+00,    0.00000e+00,    5.06232e+02,    0.00000e+00,    1.40334e+02,    0.00000e+00,    1.77671e+01,    0.00000e+00,    2.02137e+01,    0.00000e+00,    8.86339e+00,    0.00000e+00,    8.00122e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:25.870,    2.14746e+00,    0.00000e+00,    1.85298e+04,    0.00000e+00,    4.86431e+02,    0.00000e+00,    2.18800e+00,    0.00000e+00,    4.95615e+02,    0.00000e+00,    1.40305e+02,    0.00000e+00,    1.77691e+01,    0.00000e+00,    2.02231e+01,    0.00000e+00,    8.86247e+00,    0.00000e+00,    7.99497e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:26.771,    2.15348e+00,    0.00000e+00,    1.82465e+04,    0.00000e+00,    4.76474e+02,    0.00000e+00,    2.19351e+00,    0.00000e+00,    4.85330e+02,    0.00000e+00,    1.40391e+02,    0.00000e+00,    1.77715e+01,    0.00000e+00,    2.02342e+01,    0.00000e+00,    8.86490e+00,    0.00000e+00,    7.99629e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:27.674,    2.15707e+00,    0.00000e+00,    1.79505e+04,    0.00000e+00,    4.68776e+02,    0.00000e+00,    2.19649e+00,    0.00000e+00,    4.77344e+02,    0.00000e+00,    1.40314e+02,    0.00000e+00,    1.77734e+01,    0.00000e+00,    2.02510e+01,    0.00000e+00,    8.86323e+00,    0.00000e+00,    7.99287e+00,    0.00000e+00,              3,       Disabled
  02/17/2017 09:44:28.574,    2.16169e+00,    0.00000e+00,    1.77502e+04,    0.00000e+00,    4.61796e+02,    0.00000e+00,    2.20076e+00,    0.00000e+00,    4.70141e+02,    0.00000e+00,    1.40334e+02,    0.00000e+00,    1.77754e+01,    0.00000e+00,    2.02611e+01,    0.00000e+00,    8.86370e+00,    0.00000e+00,    7.99919e+00,    0.00000e+00,              3,       Disabled
